Country,Localite,Category,Value,Date,Sources,Link
Guinea,National,Probable cases,34,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Suspected cases,54,4/11/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Liberia,Bong County,Cases,5,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Bong County,Deaths,0,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Grand Cape Mount,Cases,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Grand Cape Mount,Deaths,0,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Lofa County,Cases,10,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Lofa County,Deaths,9,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Margibi County,Cases,6,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Margibi County,Deaths,2,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Montserrado County,Cases,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Montserrado County,Deaths,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,National,Cases,26,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,National,Confirmed cases,5,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,National,Deaths,13,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Nimba County,Cases,3,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Liberia,Nimba County,Deaths,1,4/13/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf
Guinea,National,Cases,168,4/14/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,National,Deaths,108,4/14/14,WHO,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014
Guinea,Conakry,Cases,47,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Conakry,Deaths,16,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Dabola ,Cases,4,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
Guinea,Dabola ,Deaths,4,4/16/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014
